density,alpha,pull_reward,push_reward,difference
0.1,1.0,-0.017500000000000092,-0.0019500000000000001,-0.015550000000000092
0.1,2.0,-0.035000000000000184,-0.0039000000000000003,-0.031100000000000183
0.1,3.0,-0.05294999999999972,-0.00585,-0.04709999999999972
0.1,4.0,-0.07000000000000037,-0.0078000000000000005,-0.062200000000000366
0.1,5.0,-0.0875,-0.00975,-0.07775
0.3,1.0,-0.08029999999999891,-0.1088499999999981,0.028549999999999187
0.3,2.0,-0.16059999999999783,-0.2176999999999962,0.057099999999998374
0.3,3.0,-0.242100000000004,-0.3265500000000015,0.0844499999999975
0.3,4.0,-0.32119999999999566,-0.4353999999999924,0.11419999999999675
0.3,5.0,-0.4035,-0.54425,0.14075
0.5,1.0,-0.3028499999999996,-0.4855999999999991,0.18274999999999947
0.5,2.0,-0.6056999999999992,-0.9711999999999982,0.36549999999999894
0.5,3.0,-0.8974500000000003,-1.4568000000000023,0.559350000000002
0.5,4.0,-1.2113999999999985,-1.9423999999999964,0.7309999999999979
0.5,5.0,-1.49575,-2.428,0.93225
0.7,1.0,-0.49954999999999916,-0.6712500000000001,0.17170000000000096
0.7,2.0,-0.9990999999999983,-1.3425000000000002,0.3434000000000019
0.7,3.0,-1.4966999999999981,-2.0137500000000026,0.5170500000000045
0.7,4.0,-1.9981999999999966,-2.6850000000000005,0.6868000000000039
0.7,5.0,-2.477,-3.35625,0.8792500000000003
0.9,1.0,-0.6089000000000001,-0.7441500000000006,0.13525000000000054
0.9,2.0,-1.2178000000000002,-1.4883000000000013,0.2705000000000011
0.9,3.0,-1.8451499999999985,-2.2324499999999956,0.3872999999999971
0.9,4.0,-2.4356000000000004,-2.9766000000000026,0.5410000000000021
0.9,5.0,-3.08825,-3.72075,0.6324999999999998
