Run,Method,Accuracy_pct,Packets_pct,Missed_pct,Mean_AOII
1,Pull-WIQL-Adapt,77.54754754754755,16.650000000000002,20.72222222222222,1.2601601601601602
1,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
2,Pull-WIQL-Adapt,77.10710710710711,16.650000000000002,23.444444444444446,1.4328995662328996
2,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
3,Pull-WIQL-Adapt,76.98031364698032,16.650000000000002,22.444444444444443,1.3802469135802469
3,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
4,Pull-WIQL-Adapt,77.75442108775442,16.650000000000002,21.61111111111111,1.3241241241241242
4,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
5,Pull-WIQL-Adapt,77.50417083750418,16.650000000000002,21.777777777777775,1.2421421421421421
5,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
6,Pull-WIQL-Adapt,77.87454120787454,16.650000000000002,19.666666666666664,1.222288955622289
6,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
7,Pull-WIQL-Adapt,77.96463129796463,16.650000000000002,20.38888888888889,1.155955955955956
7,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
8,Pull-WIQL-Adapt,76.91024357691025,16.650000000000002,22.27777777777778,1.4444778111444778
8,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
9,Pull-WIQL-Adapt,77.24391057724391,16.650000000000002,20.38888888888889,1.310643977310644
9,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
10,Pull-WIQL-Adapt,77.87787787787788,16.650000000000002,19.22222222222222,1.2511845178511845
10,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
MEAN,Push,97.79446112779446,9.926666666666666,0.0,0.02442442442442442
MEAN,Pull-WIQL-Adapt,77.47647647647649,16.650000000000002,21.194444444444443,1.3024124124124123
